# telegram_history.log — audit des envois réels (Paris ISO | TYPE | id | title | price | url | jeu)
2026-09-01T12:58:00+02:00 | WATCHLIST | - | Watchlist 13 jeux | - | - | 2026-09-01
2026-09-01T12:58:45+02:00 | ALERT | 9852072713 | Patchwork express | 9.0 EUR | https://www.vinted.fr/items/9852072713-patchwork-express | Patchwork 10e Anniversaire
2026-09-01T17:25:15+02:00 | WATCHLIST | - | Watchlist 13 jeux | - | - | 2026-09-01 (duplicate bug)
2026-09-01T17:25:26+02:00 | ALERT | 9854405640 | Cascadia | 22.5 EUR | https://www.vinted.fr/items/9854405640-cascadia | Cascadia
2026-09-01T17:25:55+02:00 | ALERT | 9852072713 | Patchwork express | 9.0 EUR | https://www.vinted.fr/items/9852072713-patchwork-express | Patchwork 10e Anniversaire (duplicate bug - should have been filtered by seen.db)
2026-09-03T12:03:01.331587+02:00 | WATCHLIST | - | Watchlist 13 jeux | - | - | 2026-09-03
2026-09-03T12:03:02.822687+02:00 | ALERT | 9872197274 | Jeu hanafuda koi koi | 10.0 EUR | https://www.vinted.fr/items/9872197274-jeu-hanafuda-koi-koi | Koi
2026-09-03T12:03:29.248841+02:00 | ALERT | 9872927896 | Windmill Valley | 27.0 EUR | https://www.vinted.fr/items/9872927896-windmill-valley | Windmill Valley
